Estimate Line Item,Category,OEM Part Number,OEM Description,DB Deal Price (USD),AI Quote USD,Variance (DB vs AI),RECOMMENDED USD,Recommended AUD inc GST,Source Used,Notes / Questions
FRONT BUMPER BAR PTS SENSORS WIRING,Electronics/PDC,61 12 5A02390,"Set of cables, front bumper",195.12,260.00,64.88,195.12,374.53,DB (ETK/dealer),DB=$195.12 deal. AI=$260. Use DB.
FRONT BUMPER BAR MAIN CAMERA,Camera/driver assist,51 11 7884096,"Panel, bumper, primed, front (PDC/PMA/ICAM)",786.97,650.00,-136.97,786.97,1510.59,DB (ETK/dealer),DB=$786.97 for camera-integrated bumper panel (includes camera). AI=$650 for camera unit only. These may be double-counting with FRONT BUMPER BAR if both lines are kept. QUESTION: Is the camera integral to the bumper panel or a separate unit? Clarify to avoid double-counting.
FRONT BUMPER BAR NUMBER PLATE BASE,Trim,51 11 8074796,Number plate carrier front (ECE),76.20,120.00,43.80,76.20,146.27,DB (ETK/dealer),DB=$76.20. AI=$120. Use DB.
FRONT BUMPER BAR FOG LAMP MESH - O/S,Bumper mesh,51 11 8069440,"Grille, air inlet, right (M)",70.72,185.00,114.28,70.72,135.75,DB (ETK/dealer),DB=$70.72. AI=$185. Use DB — AI overstated.
FRONT BUMPER BAR FOG LAMP MESH BACKING - O/S,Bumper mesh,51 11 7886865,Kit holder Aircurtain PART 2,49.44,110.00,60.56,49.44,94.90,DB (ETK/dealer),DB=$49.44. AI=$110. Use DB.
FRONT BUMPER BAR FOG LAMP MESH - N/S,Bumper mesh,51 11 8069439,"Grille, air inlet, left (M)",70.72,185.00,114.28,70.72,135.75,DB (ETK/dealer),DB=$70.72. AI=$185. Use DB.
FRONT BUMPER BAR FOG LAMP MESH BACKING - N/S,Bumper mesh,51 11 7886864,Kit holder Aircurtain PART 1,49.44,110.00,60.56,49.44,94.90,DB (ETK/dealer),DB=$49.44. AI=$110. Use DB.
FRONT BUMPER BAR RADAR COVER,Radar/driver assist,66 31 5A1CFA0,[SEE RADAR LINE — cover is integral to module],N/A,140.00,N/A (no DB price),140.00,268.73,AI estimate (cover PN TBC),QUESTION: The radar module (66315A1CFA0) includes the housing/cover. Separate radar cover part not found in DB. AI=$140 for cover only — may exist as a separate trim piece. Verify via EPC group 66.31.
FRONT BUMPER BAR RADAR,Radar/driver assist,66 31 5A1CFA0,Front radar sensor long range (FRR-02),4345.52,2400.00,-1945.52,4345.52,8341.23,DB (ETK/dealer),"PRICE CONFLICT. DB=$4,345.52 (real dealer price). AI=$2,400. DB is a confirmed ETK dealer price — AI significantly underestimates this module. Use DB $4,345.52."
FRONT RADAR BRACKET,Radar/driver assist,51 64 8071632,"Mounting, headlight/radar (confirm via EPC)",207.56,165.00,-42.56,207.56,398.41,DB (ETK/dealer),DB=$207.56 (headlight mounting bracket). AI=$165. Prices broadly similar but QUESTION: Is this the correct radar bracket or a different part? Needs EPC group 66.31 verification for specific radar bracket PN.
FRONT BUMPER BAR MAIN REIO,Crash structure,51 11 8071640,"Carrier, bumper front",420.80,650.00,229.20,420.80,807.73,DB (ETK/dealer),DB=$420.80. AI=$650. Use DB — more accurate.
FRONT BUMPER BAR MAIN REIO FOAM,Crash structure,51 11 8072756,Shock absorber front,~58.28,185.00,126.72,58.28,111.87,DB EUR converted ~,DB has EUR 53.96 only (~$58 USD). AI=$185. QUESTION: AI price significantly higher — is this a full foam energy absorber (impact bar foam) or just a small buffer? Need to verify correct PN from DB.
FRONT BUMPER BAR LOWER REIO,Crash structure,51 11 8071602,"Carrier, bumper, front bottom",220.32,420.00,199.68,220.32,422.90,DB (ETK/dealer),DB=$220.32. AI=$420. Use DB.
FRONT BUMPER BAR LOWER REIO FEET - O/S,Crash structure,41 00 9630050,"Mount, bumper right",69.04,120.00,50.96,69.04,132.52,DB (ETK/dealer),DB=$69.04. AI=$120. Use DB.
FRONT BUMPER BAR LOWER REIO FEET - N/S,Crash structure,41 00 9630049,"Mount, bumper left",69.04,120.00,50.96,69.04,132.52,DB (ETK/dealer),DB=$69.04. AI=$120. Use DB.
BONNET SHELL,Panel,41 61 8082029,Aluminium engine hood,1040.72,2600.00,1559.28,1040.72,1997.66,DB (ETK/dealer),"PRICE CONFLICT. DB=$1,040.72 (confirmed dealer price). AI=$2,600. DB likely correct — use DB. AI may have estimated a painted assembly including labour uplift."
BONNET HINGE - O/S,Panel hardware,41 00 8494432,Right engine hood hinge,75.88,210.00,134.12,75.88,145.65,DB (ETK/dealer),DB=$75.88. AI=$210. Use DB — the hinge alone is inexpensive.
BONNET HINGE STRUT - O/S,Panel hardware,51 23 9463397,Gas pressure spring bonnet active (590N),76.50,140.00,63.50,76.50,146.84,DB (ETK/dealer),DB=$76.50. AI=$140. Use DB.
BONNET HINGE ACTUATOR - O/S,Pedestrian protection,NEED PART NO,Active hood actuator (pedestrian protection pyro unit),N/A,420.00,N/A (no DB price),420.00,806.19,AI estimate (actuator not in DB),"GAP. DB only returned the mechanism lever ($27) — the actual pyrotechnic pop-up actuator is a separate expensive assembly. AI=$420. QUESTION: Confirm if car has active pedestrian protection. If yes, need specific actuator PN via EPC group 41.00 / 51.23."
BONNET HINGE - N/S,Panel hardware,41 00 8494431,Left engine hood hinge,75.88,210.00,134.12,75.88,145.65,DB (ETK/dealer),DB=$75.88. AI=$210. Use DB.
BONNET HINGE STRUT - N/S,Panel hardware,51 23 9463396,Gas pressure spring bonnet passive,67.20,140.00,72.80,67.20,128.99,DB (ETK/dealer),DB=$67.20. AI=$140. Use DB.
BONNET HINGE ACTUATOR - N/S,Pedestrian protection,NEED PART NO,Active hood actuator N/S (pedestrian protection),N/A,420.00,N/A (no DB price),420.00,806.19,AI estimate (actuator not in DB),GAP. Same as O/S actuator — pyrotechnic unit not in DB results. AI=$420. Verify via EPC.
O/S HEADLAMP,Lighting,63 11 8084888,"Headlight, LED technology, right (RHD/SHAD.LINE)",~1530.08,4300.00,2769.92,1530.08,2936.99,DB EUR converted ~,"MAJOR PRICE CONFLICT. DB: EUR 1,416.74 (~$1,530 USD) for LED, or EUR 2,985 (~$3,225) for Laser. AI=$4,300. QUESTION: Does VIN WBS32AZ060CG54821 have laser or LED headlamps? This is critical — price swings ~$2,800 per lamp depending on option. Need VIN options check."
N/S HEADLAMP,Lighting,63 11 8084887,"Headlight, LED technology, left (RHD/SHAD.LINE)",~1530.08,4300.00,2769.92,1530.08,2936.99,DB EUR converted ~,"Same as O/S — QUESTION: Laser or LED? DB EUR 1,416 vs AI $4,300."
LOWER AIR BAFEL RADIAOTOR,Cooling ducting,51 74 8074611,"Air duct, radiator (M)",128.57,210.00,81.43,128.57,246.79,DB (ETK/dealer),DB=$128.57. AI=$210. Use DB.
OIL COOLER # 1,Cooling,17 11 8095293,Engine-oil cooler,732.18,720.00,-12.18,732.18,1405.42,DB (ETK/dealer),GOOD MATCH. DB=$732.18. AI=$720. Very close — use DB.
OIL COOLER BRACKET # 2,Cooling bracket,17 21 9501958,Repair kit bracket engine oil cooler,50.80,170.00,119.20,50.80,97.51,DB (ETK/dealer),DB=$50.80. AI=$170. Use DB — AI overstated.
OIL COOLER BRACKET SEAL # 3,Cooling seal,17 21 9501844,Profile seal engine oil cooler,24.99,60.00,35.01,24.99,47.97,DB (ETK/dealer),DB=$24.99. AI=$60. Use DB.
RADIATOR # 1,Cooling,17 11 8095283,Radiator (main coolant),449.55,870.00,420.45,449.55,862.91,DB (ETK/dealer),DB=$449.55. AI=$870. DB is real dealer price — use DB.
RADIATOR # 2,Cooling,17 11 8095285,External radiator,495.22,870.00,374.78,495.22,950.57,DB (ETK/dealer),"DB=$495.22 (external/remote radiator). AI=$870. Use DB. QUESTION: Is Radiator #2 the transmission oil cooler (17118095284, $369.20) or the external radiator ($495.22)?"
RADIATOR AIR BAFFEL - UPPER # 5,Cooling ducting,17 11 8666828,"Cooling module mounting, top",20.63,180.00,159.37,20.63,39.60,DB (ETK/dealer),DB=$20.63. AI=$180. MAJOR DISCREPANCY — AI appears to have estimated generic baffle prices. DB has the real part. Use DB.
RADIATOR AIR BAFFEL - LOWER # 8,Cooling ducting,17 21 9501845,Air dam engine oil cooler,23.31,180.00,156.69,23.31,44.74,DB (ETK/dealer),DB=$23.31. AI=$180. Use DB.
RADIATOR AIR BAFFEL - O/S # 6,Cooling ducting,51 74 8072094,Air duct displaced radiator right (M),48.67,160.00,111.33,48.67,93.42,DB (ETK/dealer),DB=$48.67. AI=$160. Use DB.
RADIATOR AIR BAFFEL - N/S # 6,Cooling ducting,51 74 8072093,Air duct displaced radiator left (M),48.67,160.00,111.33,48.67,93.42,DB (ETK/dealer),DB=$48.67. AI=$160. Use DB.
RADIATOR AIR BAFFEL MESH # 12,Cooling mesh,51 13 8073057,Grill front (M/BASIS) — confirm if this is mesh baffle,202.44,120.00,-82.44,202.44,388.58,DB (ETK/dealer),"CONFLICT. DB=$202.44 for grille/mesh assembly. AI=$120. The DB part here is actually the main front grille, not a small baffle. QUESTION: Are items #12 and #13 small mesh inserts within the cooling stack, or outer grille assemblies? Need EPC diagram clarification."
RADIATOR AIR BAFFEL MESH # 13,Cooling mesh,51 13 8081142,Grill front (FRR/COMPETITION) — confirm,250.90,120.00,-130.90,250.90,481.60,DB (ETK/dealer),"CONFLICT. Same question as #12 above — DB part is grille, not a cooling baffle mesh. AI may be more correct at $120 if these are small inserts."
ENGINE OIL,Fluids,N/A,Engine Oil BMW Longlife-04,N/A,220.00,N/A (no DB price),220.00,422.29,AI estimate,No OEM catalog PN. AI=$220 allowance is reasonable for ~8L premium synthetic. Accept AI figure.
ENGINE COOLANT BMW GENUINE,Fluids,N/A,BMW Coolant HT-12,N/A,110.00,N/A (no DB price),110.00,211.15,AI estimate,No OEM catalog PN. AI=$110 allowance is reasonable. Accept AI figure.
O/S/F GUARD,Panel,41 00 8083536,"Side panel, front right",559.02,1150.00,590.98,559.02,1073.04,DB (ETK/dealer),"DB=$559.02. AI=$1,150. Use DB — AI overstated."
O/S/F GUARD SPLASH TRAY,Wheel arch liner,41 00 7486651,Splash wall,388.41,185.00,-203.41,388.41,745.55,DB (ETK/dealer),CONFLICT. DB=$388.41 (full splash wall). AI=$185. DB likely includes the full front splash wall structure. Use DB.
O/S SILL PANEL MOULD,Side trim,51 77 8084240,"Door sill cover, primed right",394.71,430.00,35.29,394.71,757.65,DB (ETK/dealer),DB=$394.71. AI=$430. Very close — use DB.
O/S SILL PANEL MOULD INSERT,Side trim,51 77 8084410,Insert side sill right,221.33,220.00,-1.33,221.33,424.84,DB (ETK/dealer),EXCELLENT MATCH. DB=$221.33. AI=$220. Use DB.
O/S SILL PANEL MOULD REIO # 3,Side trim support,41 00 9879792,"Reinforcement plate, sill, right",48.27,145.00,96.73,48.27,92.65,DB (ETK/dealer),DB=$48.27. AI=$145. Use DB.
O/S SILL PANEL MOULD REIO # 4,Side trim support,41 00 7488040,"Reinforcement plate, sill, right",125.32,145.00,19.68,125.32,240.55,DB (ETK/dealer),DB=$125.32. AI=$145. Use DB.
O/S SILL PANEL MOULD REIO # 5,Side trim support,51 77 8081014,"Support, sill, right",52.19,145.00,92.81,52.19,100.18,DB (ETK/dealer),DB=$52.19. AI=$145. Use DB.
O/S SILL PANEL MOULD REIO # 6,Side trim support,51 77 8076446,"Support, sill, right",13.28,145.00,131.72,13.28,25.49,DB (ETK/dealer),DB=$13.28. AI=$145. MAJOR DISCREPANCY — $13 vs $145. The AI appears to have applied a blanket $145 to all sill supports. DB data is from real catalog — use DB.
O/S/F ROAD WHEEL,Wheel,36 10 8093832,Disc wheel light alloy jet black 9.5JX19 ET:20,964.61,1850.00,885.39,964.61,1851.57,DB (ETK/dealer),"DB=$964.61. AI=$1,850. DB is real dealer price. QUESTION: What is the exact wheel spec on this G82? Competition comes with 19"" style 825M but 20"" forged are also available. Confirm size/finish against vehicle — price varies significantly."
N/S/F ROAD WHEEL,Wheel,36 10 8093832,Disc wheel light alloy jet black 9.5JX19 ET:20,964.61,1850.00,885.39,964.61,1851.57,DB (ETK/dealer),Same as O/S. Use DB $964.61 per wheel.
N/S/F SUSPENSION - COMPLETE,Suspension,N/A,Complete front LH corner (report-on),N/A,4200.00,N/A (no DB price),4200.00,8061.90,AI estimate (no DB match),"GAP. DB = report-on only. AI provides $4,200 estimate for complete front corner. Accept AI as working figure pending inspection report. QUESTION: Does this include control arms, spring, damper, hub, knuckle, and all hardware? Confirm scope."
O/S DOOR,Panel,41 00 9478692,"Door, front, right",1179.04,2300.00,1120.96,1179.04,2263.17,DB (ETK/dealer),"DB=$1,179.04. AI=$2,300. Use DB."
O/S DOOR HINGE - UPPER,Door hardware,41 51 7420094,"Door hinge, top right",51.95,180.00,128.05,51.95,99.72,DB (ETK/dealer),DB=$51.95. AI=$180. Use DB.
O/S DOOR HINGE - LOWER,Door hardware,41 51 7420090,"Door hinge, bottom right",51.95,180.00,128.05,51.95,99.72,DB (ETK/dealer),DB=$51.95. AI=$180. Use DB.
O/S DOOR CHECK STRAP,Door hardware,51 00 7482127,Door brake,65.56,95.00,29.44,65.56,125.84,DB (ETK/dealer),DB=$65.56. AI=$95. Use DB.
O/S DOOR WEATHER SEAL (ON DOOR),Door seal,NEED PART NO,Door mounted weather seal (full door perimeter),N/A,260.00,N/A (no DB price),260.00,499.07,AI estimate (no DB match),"GAP. DB only returned a panel gasket ($27.75) which is the fender-to-body seal, NOT the door seal. AI=$260 for full door perimeter seal. QUESTION: Confirm if this is the seal bonded to the door itself or the body aperture seal — two separate parts, both may be needed."
O/S DOOR TRIM RETAINERS,Clips/fasteners,N/A,Trim retainer clips (allowance),N/A,80.00,N/A (no DB price),80.00,153.56,AI estimate,No individual catalog PN. AI=$80 allowance is reasonable. Accept AI.
O/S DOOR MIRROR MECHANISM,Mirror,NEED PART NO,Mirror drive/fold mechanism assembly,186.57,820.00,633.43,186.57,358.12,DB (ETK/dealer),CONFLICT. DB=$186.57 (wiring harness only — not the mechanism). AI=$820 for full mechanism. AI is more realistic. QUESTION: Is this the full electrically-folding mirror base/actuator assembly? Need full mirror fold mechanism PN from EPC group 51.16.
O/S DOOR MIRROR HOUSING,Mirror,51 16 9500712,"Outside mirror cover cap, primed, right (M)",94.98,430.00,335.02,94.98,182.31,DB (ETK/dealer),"CONFLICT. DB=$94.98 for primed cover cap only. AI=$430. The full mirror housing (painted, with base) is more expensive than a primed cap. QUESTION: Is this just the outer cap, or the complete mirror housing assembly? If complete housing needed, EPC may have a full assembly PN."
O/S DOOR GLASS MIRROR,Mirror,51 16 5A07758,"Mirror glass, heated, wide-angle, right (EC/HC2)",557.35,190.00,-367.35,557.35,1069.83,DB (ETK/dealer),MAJOR CONFLICT. DB=$557.35 (real dealer price). AI=$190. DB is confirmed — use DB. Mirror glass on G82 is expensive.
O/S DOOR GLASS,Glass,51 33 7955244,Side window door right,170.06,520.00,349.94,170.06,326.43,DB (ETK/dealer),"DB=$170.06. AI=$520. Verify — $170 for door glass seems low for G82. QUESTION: Is this the full laminated door glass with privacy tint, or a base glass?"
N/S DOOR GLASS,Glass,51 37 7482713,"Side window, fixed, rear left",204.06,520.00,315.94,204.06,391.69,DB (ETK/dealer),DB=$204.06 (fixed rear quarter). AI=$520. G82 is a coupe — N/S door glass may refer to the fixed rear quarter glass. Prices in DB seem low vs AI. Flag for verification.
FUEL FILLER BUCKET,Fuel system/body,16 11 7484896,Filler pipe,228.24,260.00,31.76,228.24,438.11,DB (ETK/dealer),DB=$228.24. AI=$260. Use DB.
FUEL FILLER BUCKET - DECAL,Decal,N/A,Fuel filler decal/label,N/A,45.00,N/A (no DB price),45.00,86.38,AI estimate,"DB returned only a carbon M Performance cap ($109). AI=$45 for a decal label. QUESTION: Is this just the fuel type sticker inside the filler flap, or the full filler cap? If just the decal, $45 is reasonable. If full cap, use 16112472988 at $109."
FUEL FILLER BUCKET - DECAL (dup),Decal,N/A,Fuel filler decal (duplicate line in estimate),N/A,45.00,N/A (no DB price),45.00,86.38,AI estimate,Duplicate estimate line — same as above.
HOOD LINING,Trim/headliner,51 44 8097321,Headlining (SCHWARZ),886.74,1500.00,613.26,886.74,1702.10,DB (ETK/dealer),"DB=$886.74. AI=$1,500. Use DB."
O/S SIDE CURTAIN AIR BAG,SRS,NEED PART NO,Side curtain airbag right,N/A,1050.00,N/A (no DB price),1050.00,2015.48,AI estimate (no DB match),"GAP. Not in DB results. AI=$1,050. Accept as working figure. QUESTION: Need VIN/build data to confirm correct curtain airbag PN — varies by trim/option. Verify via EPC group 72.12."
N/S SIDE CURTAIN AIR BAG,SRS,NEED PART NO,Side curtain airbag left,N/A,1050.00,N/A (no DB price),1050.00,2015.48,AI estimate (no DB match),GAP. Same as above.
O/S/F SEAT SIDE AIR BAG,SRS,72 12 7441496,"Side airbag, front right seat",337.79,780.00,442.21,337.79,648.39,DB (ETK/dealer),CONFLICT. DB=$337.79 (confirmed dealer price). AI=$780. Use DB.
N/S/F SEAT SIDE AIR BAG,SRS,72 12 7441495,"Side airbag, front left seat",337.79,780.00,442.21,337.79,648.39,DB (ETK/dealer),CONFLICT. DB=$337.79. AI=$780. Use DB.
O/S QTR INNER AIR BAG,SRS,NEED PART NO,Quarter inner airbag right (rear),N/A,950.00,N/A (no DB price),950.00,1823.52,AI estimate (no DB match),GAP. Not in DB results. AI=$950. Accept as working figure pending EPC group 72.12 lookup.
N/S QTR INNER AIR BAG,SRS,NEED PART NO,Quarter inner airbag left (rear),N/A,950.00,N/A (no DB price),950.00,1823.52,AI estimate (no DB match),GAP. Same as above.
O/S/F SRS SEAT BELT ASSEMBLY,SRS restraint,72 11 8097740,"Upper belt, front right (M)",~228.94,900.00,671.06,900.00,1727.55,AI estimate (full assembly),CONFLICT. DB only has EUR 211.98 (~$229 USD) for belt retractor. AI=$900 for full pyrotechnic SRS assembly. AI is likely more complete — the full SRS belt assembly includes pretensioner which is more expensive. QUESTION: Confirm if this is the full pyrotechnic retractor assembly or just the belt webbing/reel.
OS/F SRS BUCKLE ASSEMBLY,SRS restraint,NEED PART NO,Front right seat belt buckle/pretensioner,N/A,360.00,N/A (no DB price),360.00,691.02,AI estimate (no DB match),GAP. Not separately in DB. AI=$360. Accept as working figure. Buckle pretensioners are EPC group 72.11.
N/S/F SRS SEAT BELT ASSEMBLY,SRS restraint,72 11 8097739,Upper belt front left (M),~228.94,900.00,671.06,900.00,1727.55,AI estimate (full assembly),Same as O/S — use AI $900 pending clarification of full assembly scope.
N/S/F SRS BUCKLE ASSEMBLY,SRS restraint,NEED PART NO,Front left seat belt buckle/pretensioner,N/A,360.00,N/A (no DB price),360.00,691.02,AI estimate (no DB match),GAP. Accept AI $360.
O/S/R SRS SEAT BELT ASSEMBLY,SRS restraint,72 11 8097754,"Upper belt, rear right (M)",~178.07,760.00,581.93,760.00,1458.82,AI estimate (full assembly),DB only has EUR 164.88 (~$178). AI=$760 for full SRS assembly. Same issue as front — AI likely more complete.
O/S/R SEAT BELT ASSEMBLY,SRS restraint,72 11 8097754,"Upper belt, rear right (non-SRS)",~178.07,520.00,341.93,178.07,341.81,DB EUR converted ~,"Duplicate/separate line. QUESTION: Are both O/S/R SRS and O/S/R belt lines different parts (SRS retractor + lap belt anchor), or is this a duplicate estimate error?"
N/S/R SRS SEAT BELT ASSEMBLY,SRS restraint,72 11 8097753,"Upper belt, rear left (M)",~178.07,760.00,581.93,760.00,1458.82,AI estimate (full assembly),DB EUR 164.88 (~$178). AI=$760. Use AI as working figure.
N/S/R SEAT BELT ASSEMBLY,SRS restraint,72 11 8097753,"Upper belt, rear left",~178.07,520.00,341.93,178.07,341.81,DB EUR converted ~,Possible duplicate — see O/S/R note above.
O/S/R SUSPENSION COMPLETE,Suspension,N/A,Complete rear RH corner (report-on in original estimate),N/A,3800.00,N/A (no DB price),3800.00,7294.10,AI estimate (no DB match),"GAP — original estimate marked as report-on. AI provides $3,800 estimate for complete rear corner. QUESTION: What is scope — trailing arms, control arms, spring/damper, hub, subframe mounts? Confirm before accepting."
*** GRAND TOTAL ***,,,,19176.33,59015.00,39838.67,41880.91,80390.42,,"AI total (xlsx): $58,825. DB-sourced total on matched lines. Recommended = best available from either source."
